,film_id,title,cast,my_title,my_rating,budget,id,imdb_id,original_language,overview,poster_path,revenue,runtime,votes,imdb_rating,year,genre
661,661,They Came Together,"PAUL RUDD, AMY POEHLER",THEY CAME TOGETHER,6,0,180296,tt2398249,en,A small business owner is about to lose her shop to a major corporate development.,/jue0hdydHvkfGgWS6FnYVlozO2d.jpg,0,84,18742,5.5,2014,COMEDY
662,662,Rango,JOHNNY DEPP,RANGO,7.5,10000000,44896,tt1192628,en,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",/afxRbCwwKjrWgGJtsVNs1BW1Dk5.jpg,0,107,202304,7.2,2011,ANIMATION
663,663,City Island,"ANDY GARCIA, EZRA MILLER",CITY ISLAND,7.5,6000000,28053,tt1174730,en,"The Rizzos, a family who doesn't share their habits, aspirations, and careers with one another, find their delicate web of lies disturbed by the arrival of a young ex-con brought home by Vince, the patriarch of the family, who is a corrections officer in real life, and a hopeful actor in private.",/6hpQ99KyqUpx7IsAHoQUiYjF7oG.jpg,7875862,104,28554,7.4,2009,COMEDY
664,664,Date Night,"STEVE CARELL, TINA FEY",DATE NIGHT,6,55000000,35056,tt1279935,en,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves Ã_Â¢ÂŒÃ_ÂŒÃ± and now a number of unsavoury characters want Phil and Claire killed.",/fzzPht9KId6Ollow30jYtABhDY3.jpg,152263880,97,137611,6.3,2010,ACTION
665,665,Dinner for Schmucks,"STEVE CARELL, PAUL RUDD, ZACH GALIFINAKIS",DINNER FOR SCHMUCKS,6,69000000,38778,tt0427152,en,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",/3eaNh9o4idemfhnWGt95mBJks9H.jpg,86387857,114,85876,5.9,2010,COMEDY
666,666,The Whole Nine Yards,"MATTHEW PERRY, BRUCE WILLIS",THE WHOLE NINE YARDS,7,41300000,2069,tt0190138,en,"A mobster named Jimmy the Tulip agrees to cooperate with an FBI investigation in order to stay out of prison; he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbors figure out his true identity and come knocking to see if he'd be up for one more hit, suburban style.",/rnXnZrKipVb8v4mS2Oo6Ga2O0fg.jpg,106371651,98,97287,6.7,2000,COMEDY
667,667,Big Hero 6,"RYAN POTTER, SCOTT ADSIT",BIG HERO 6,6.5,165000000,177572,tt2245084,en,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",/9gLu47Zw5ertuFTZaxXOvNfy78T.jpg,657818612,102,330396,7.8,2014,ANIMATION
668,668,Die Hard: With a Vengeance,"BRUCE WILLIS, SAMUEL L. JACKSON",DIE HARD WITH A VENGEANCE,7,90000000,1572,tt0112864,en,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",/ivpXGcsPZglyYrN65THWSD7JM3q.jpg,366101666,128,322943,7.6,1995,ACTION
669,669,The Imitation Game,"BENEDICT CUMBERBATCH, KEIRA KNIGHTLEY",THE IMITATION GAME,7,14000000,205596,tt2084970,en,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg,233555708,113,564838,8,2014,DRAMA
670,670,Nightcrawler,"JAKE GYLLENHALL,RENE RUSSO",NIGHTCRAWLER,7.5,8500000,242582,tt2872718,en,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",/8oPY6ULFOTbAEskySNhgsUIN4fW.jpg,38697217,117,360484,7.9,2014,THRILLER
671,671,Whiplash,"J.K. SIMMONS, MILES TELLER",WHIPLASH,8.5,3300000,244786,tt2582802,en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg,13092000,105,528881,8.5,2014,DRAMA
672,672,The Interview,"SETH ROGEN,JAMES FRANCO",THE INTERVIEW,6.5,44000000,228967,tt2788710,en,"Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",/2uWb0aSm5cFmRCHP95OdA6hvTEs.jpg,12342632,112,271487,6.6,2014,COMEDY
673,673,Selma,"DAVID OYELOWO, AVA DUVERNAY, COMMON",SELMA,8,20000000,273895,tt1020072,en,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Civil Rights Act.",/xj1H3dpEHhouyJNB1lfpkKf9fXX.jpg,66787908,127,71732,7.5,2014,DRAMA
674,674,Birdman,"MICHAEL KEATON,EMMA STONE, EDWARD NORTON",BIRDMAN,8,18000000,194662,tt2562232,en,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",/rSZs93P0LLxqlVEbI001UKoeCQC.jpg,103215094,119,470368,7.8,2014,DRAMA
